"","from","to","weight"
"1131",14,4,7
"1132",66,56,5
"1133",15,56,469
"1134",111,21,19
"1135",31,56,2433
"1136",169,5,7
"1137",1,24,21
"1138",32,24,16
"1139",28,18,3
"1140",27,18,7
"1141",55,39,716
"1142",199,18,2
"1143",38,27,51
"1144",36,30,93
"1145",36,29,6
"1146",91,33,327
"1147",98,98,308
"1148",104,28,36
"1149",15,30,209
"1150",116,21,6
"1151",32,23,1
"1152",29,93,1
"1153",31,93,11
"1154",44,24,6
"1155",98,22,34
"1156",15,14,11
"1157",30,18,70
"1158",86,30,5
"1159",32,100,2
"1160",22,15,837
"1161",32,15,24
"1162",35,30,11
"1163",86,18,20
"1164",101,101,7
"1165",61,32,4
"1166",160,46,3
"1167",104,20,3
"1168",35,18,2
"1169",24,21,229
"1170",4,21,399
"1171",23,35,3
"1172",146,16,2
"1173",65,56,145
"1174",22,98,21
"1175",116,38,20
"1176",21,19,85
"1177",102,4,13
"1178",116,12,3
"1179",17,1,37
"1180",67,42,2
"1181",126,33,7
"1182",98,56,86
"1183",38,71,1
"1184",11,39,2
"1185",142,75,1
"1186",49,18,5
"1187",91,13,879
"1188",7,40,220
"1189",38,18,13
"1190",45,18,2
"1191",49,36,67
"1192",59,36,4
"1193",34,31,9
"1194",129,1,12
"1195",51,5,39
"1196",109,33,2
"1197",15,20,124
"1198",110,31,84
"1199",89,4,16
"1200",19,18,6
"1201",24,15,71
"1202",29,86,5
"1203",117,87,8
"1204",29,15,54
"1205",98,21,124
"1206",86,54,1
"1207",36,15,86
"1208",18,30,54
"1209",102,102,199
"1210",31,102,91
"1211",86,53,1
"1212",7,53,27
"1213",91,9,253
"1214",170,75,1
"1215",54,18,15
"1216",56,21,555
"1217",85,38,2
"1218",80,54,2
"1219",145,22,1
"1220",63,30,22
"1221",113,15,23
"1222",149,22,3
"1223",103,103,2
"1224",58,38,1
"1225",48,27,4
"1226",9,39,5
"1227",104,104,24
"1228",54,56,14
"1229",14,7,10
"1230",98,3,3
"1231",65,39,129
"1232",105,105,4
"1233",31,95,97
"1234",29,42,48
"1235",190,46,1
"1236",160,39,9
"1237",37,33,13
"1238",1,106,5
"1239",17,18,3
"1240",116,1,2
"1241",4,18,23
"1242",33,22,15
"1243",24,7,24
"1244",70,70,37
"1245",100,16,1
"1246",39,33,36
"1247",49,20,824
"1248",16,18,2
"1249",30,56,118
"1250",44,4,19
"1251",29,22,298
"1252",12,21,3
"1253",158,8,5
"1254",66,24,1
"1255",23,7,81
"1256",13,24,236
"1257",86,24,4
"1258",133,24,1
"1259",32,38,12
"1260",30,35,11
"1261",57,18,3
"1262",156,18,6
"1263",21,4,224
"1264",71,1,6
"1265",56,3,20
"1266",51,4,61
"1267",100,33,6
"1268",97,22,23
"1269",61,38,89
"1270",45,33,12
"1271",3,4,57
"1272",91,31,111
"1273",5,33,14
"1274",121,4,18
"1275",36,39,2
"1276",5,20,10
"1277",45,56,20
"1278",55,56,8
"1279",127,56,2
"1280",3,54,3
"1281",40,33,9
"1282",53,4,9
"1283",32,107,1
"1284",17,33,96
"1285",24,13,611
"1286",7,25,27
"1287",66,42,4
"1288",91,45,24
"1289",123,3,2
"1290",151,33,3
"1291",89,89,13
"1292",32,89,2
"1293",91,46,52
"1294",44,22,13
"1295",104,25,36
"1296",31,41,86
"1297",17,21,15
